PM2.5,PM10,NO2,AQI
29.86,55.8,4.52,69.0
34.77,63.95,5.03,69.0
21.17,41.26,6.54,53.0
13.72,31.06,4.58,42.0
18.38,40.46,4.91,47.0
18.62,45.2,4.5,51.0
13.28,40.72,4.83,40.0
29.9,103.68,10.11,103.0
18.09,60.29,4.2,66.0
24.22,66.04,4.33,69.0
25.16,66.12,5.41,64.0
20.96,68.44,5.69,70.0
22.5,62.08,6.94,63.0
19.96,58.07,5.43,62.0
8.09,37.02,9.29,46.0
12.78,38.24,9.72,41.0
10.23,35.22,10.19,40.0
7.89,34.52,11.09,39.0
9.33,36.04,8.83,58.0
10.14,43.39,7.06,44.0
11.49,47.69,6.9,50.0
12.19,49.5,10.16,54.0
10.39,44.35,10.06,61.0
10.18,25.24,15.4,58.0
5.6,12.17,14.58,53.0
4.7,12.83,10.03,47.0
4.65,12.76,8.44,44.0
11.71,25.81,8.06,47.0
10.07,24.04,9.21,41.0
11.61,31.52,16.7,39.0
8.73,18.33,16.26,36.0
11.2,27.86,12.95,42.0
11.03,34.97,13.74,43.0
16.99,45.43,9.48,55.0
12.74,30.83,10.27,50.0
17.97,50.49,12.1,46.0
15.48,34.84,9.15,55.0
14.88,35.33,10.59,52.0
20.74,37.36,8.44,50.0
14.5,24.43,6.53,42.0
16.65,28.51,8.32,49.0
20.96,32.56,9.55,56.0
21.34,35.16,10.69,61.0
248.12,445.44,40.11,463.0
148.47,318.1,32.77,320.0
194.47,357.95,35.42,338.0
214.73,276.08,41.72,395.0
71.13,191.27,40.37,229.0
126.19,312.7,46.16,239.0
133.53,309.8,41.42,318.0
150.33,299.12,39.46,308.0
165.75,302.65,39.01,338.0
221.93,295.75,39.44,356.0
147.44,289.42,39.07,341.0
174.03,267.13,41.44,271.0
145.27,261.79,39.11,304.0
129.13,259.59,32.27,314.0
146.53,252.25,29.28,317.0
144.73,251.09,37.42,318.0
160.69,290.59,17.91,319.0
140.05,290.75,42.09,321.0
97.78,232.21,30.81,252.0
90.68,250.2,28.37,235.0
113.0,222.95,21.98,248.0
137.47,260.49,21.68,295.0
147.97,267.24,24.95,317.0
151.19,271.2,29.61,328.0
121.54,234.56,20.89,311.0
89.18,178.8,5.2,234.0
38.17,100.14,13.71,128.0
78.81,182.69,41.92,131.0
111.37,228.78,31.94,262.0
83.0,184.32,7.07,200.0
106.43,224.99,12.22,206.0
144.45,295.86,31.96,314.0
128.92,264.88,46.82,307.0
143.36,276.23,47.59,318.0
110.68,237.22,48.8,288.0
141.64,270.82,49.18,302.0
143.81,268.1,50.9,322.0
137.81,263.37,50.56,316.0
137.05,266.39,45.09,313.0
129.76,268.24,41.77,306.0
146.1,283.99,30.53,317.0
146.1,265.34,33.22,323.0
147.77,270.1,35.25,324.0
119.12,232.05,23.9,296.0
130.16,239.25,14.57,309.0
108.22,214.5,7.36,266.0
92.93,189.34,3.08,227.0
106.08,215.78,49.15,185.0
131.98,266.2,20.28,298.0
117.47,236.63,19.17,304.0
102.19,198.88,18.62,277.0
44.98,87.5,13.03,162.0
53.43,87.57,10.07,127.0
66.28,141.61,16.09,116.0
58.41,124.48,16.29,126.0
87.22,198.96,42.63,227.0
56.46,126.01,25.53,143.0
72.21,157.96,26.12,122.0
96.33,186.31,28.36,197.0
112.36,210.37,28.77,235.0
148.9,272.45,28.1,315.0
177.53,303.42,28.78,335.0
101.19,188.85,26.62,298.0
100.84,199.13,27.47,233.0
133.75,254.85,28.81,283.0
158.06,285.43,30.4,321.0
161.69,291.36,30.43,331.0
149.97,260.76,31.25,331.0
87.04,179.58,29.9,232.0
103.52,189.41,78.17,237.0
124.02,195.9,94.18,310.0
66.92,138.18,86.72,170.0
77.72,158.17,79.22,152.0
77.71,151.64,77.4,144.0
73.58,146.1,78.11,165.0
61.57,131.82,77.61,126.0
70.31,154.81,76.93,129.0
74.04,163.69,76.91,149.0
58.91,131.93,77.1,125.0
58.9,110.95,78.77,123.0
26.86,59.87,78.52,115.0
62.55,122.25,79.24,127.0
57.51,120.69,79.01,118.0
70.09,160.56,60.24,132.0
53.67,114.13,34.3,124.0
45.61,101.86,45.86,127.0
61.12,131.87,47.57,142.0
56.96,135.69,53.42,150.0
44.39,114.54,54.79,159.0
31.79,96.3,59.83,149.0
55.78,138.44,65.5,168.0
50.4,131.72,70.81,165.0
58.71,147.2,57.73,152.0
48.6,136.91,49.52,130.0
59.76,157.27,42.42,130.0
67.11,160.02,49.05,141.0
69.65,162.02,49.28,138.0
67.14,166.85,61.48,145.0
58.38,177.22,48.94,147.0
48.16,87.04,35.24,123.0
16.26,52.61,28.35,66.0
15.91,50.34,33.5,58.0
31.96,94.51,33.41,77.0
68.32,181.17,30.42,129.0
41.54,135.18,9.04,137.0
53.44,159.72,11.58,133.0
52.41,166.21,13.27,139.0
69.46,205.16,13.13,162.0
54.32,166.52,9.71,154.0
43.14,122.51,10.2,124.0
52.39,143.82,13.52,123.0
29.75,89.22,10.8,114.0
58.6,153.78,9.93,119.0
57.97,149.22,9.32,133.0
46.84,128.01,9.46,132.0
16.77,58.27,7.56,79.0
25.72,77.3,8.99,73.0
19.79,57.47,9.64,64.0
31.52,77.37,6.09,69.0
47.8,85.78,4.86,73.0
58.97,153.53,9.45,133.0
51.79,140.04,10.5,132.0
29.06,104.61,9.14,112.0
28.63,90.7,9.03,91.0
42.29,129.74,9.54,110.0
48.66,155.13,8.7,128.0
54.53,157.09,8.0,140.0
40.21,138.73,8.52,125.0
27.42,104.51,6.89,119.0
20.92,81.28,13.74,88.0
30.1,96.19,14.15,93.0
43.88,137.19,15.46,112.0
44.86,144.69,14.56,138.0
56.47,158.03,12.76,124.0
20.96,75.37,4.88,106.0
15.44,57.58,4.94,72.0
92.14,196.87,8.35,167.0
84.74,196.78,8.41,206.0
72.32,163.27,8.25,149.0
67.71,106.21,8.47,131.0
74.3,134.46,8.61,127.0
104.43,152.02,8.4,252.0
52.81,112.14,8.31,134.0
51.88,100.81,8.33,102.0
62.72,124.43,8.56,114.0
74.08,126.26,8.34,132.0
72.53,138.75,8.3,134.0
108.07,76.5,8.24,225.0
74.32,61.18,8.36,196.0
66.86,67.01,8.69,113.0
75.49,327.61,22.51,130.0
99.15,331.54,8.55,254.0
48.66,179.33,8.57,200.0
67.25,199.98,8.4,164.0
61.84,194.06,9.97,174.0
59.22,208.58,9.6,164.0
54.7,175.81,29.71,148.0
29.87,135.11,6.05,133.0
83.88,340.65,13.99,221.0
39.78,171.73,15.08,154.0
21.99,46.12,16.14,86.0
57.96,119.11,9.12,101.0
51.58,109.11,9.3,107.0
41.99,92.76,9.2,95.0
43.36,87.53,9.17,93.0
52.64,68.71,10.8,88.0
28.48,46.52,10.06,81.0
28.43,47.3,9.41,49.0
22.09,41.49,9.35,49.0
24.9,53.83,8.82,55.0
26.85,65.56,8.06,67.0
27.89,60.21,5.99,64.0
25.89,27.13,6.06,54.0
23.24,40.44,6.02,50.0
24.15,48.14,5.21,74.0
28.38,51.05,4.85,54.0
14.82,31.86,4.83,50.0
19.92,37.9,12.06,42.0
41.99,143.94,29.28,115.0
59.95,182.15,29.53,145.0
48.96,144.84,23.73,137.0
61.79,184.57,24.41,152.0
37.17,106.31,26.8,119.0
42.12,120.38,27.04,107.0
48.55,138.69,26.26,124.0
45.78,130.79,28.65,122.0
57.31,175.25,26.18,138.0
57.94,171.82,20.66,144.0
49.3,143.96,22.59,140.0
116.63,306.18,21.4,251.0
33.74,87.84,21.19,137.0
48.76,139.29,27.79,112.0
27.22,102.81,32.62,124.0
73.92,213.3,43.28,146.0
96.85,215.67,32.62,237.0
60.41,112.53,38.15,124.0
54.89,157.76,38.02,114.0
62.42,178.25,34.95,158.0
33.74,96.43,37.24,120.0
48.16,128.53,29.8,117.0
52.3,139.23,27.98,125.0
93.43,147.22,28.7,140.0
112.18,162.8,34.1,306.0
63.86,142.12,33.08,135.0
65.15,144.93,33.27,130.0
62.87,139.7,31.37,135.0
62.95,140.07,36.7,125.0
53.8,123.95,33.28,101.0
76.21,168.2,26.18,115.0
61.69,137.47,33.08,127.0
69.19,153.63,37.59,131.0
54.54,121.13,41.71,131.0
23.84,52.99,40.65,94.0
34.41,76.5,39.35,91.0
